language,lines of code
PHP,175991207
JavaScript,116077394
C++,103979650
Java,84536816
Python,25033678
Ruby,22264052
CSS,19138605
C,14672347
XSLT,10568850
Perl,3644638
Shell,1727943
Prolog,1319101
CoffeeScript,730982
ActionScript,683162
ColdFusion,678661
C#,562800
TypeScript,543243
Assembly,530171
Puppet,526888
TeX,485710
Makefile,334029
ASP,305103
XQuery,203701
Groovy,158755
DOT,114448
XML,113847
Common Lisp,46904
Objective-C,35305
Verilog,28749
SystemVerilog,28700
Emacs Lisp,28395
Frege,22799
Lasso,18060
Go,13615
Pascal,13373
Racket,12258
Slash,11042
Arduino,8766
Ragel in Ruby Host,5112
PowerShell,4631
Elixir,4002
R,3582
Rebol,2897
Lua,1963
Gosu,1575
D,1054
Rust,778
Haskell,722
Standard ML,33
